ID,Platform,ReleaseYear,Genre,Company,RevenueNA,RevenueEU,RevenueJapan,RevenueOther
9349,Wii,2011.0,Sports,Company42,0.06,0.07,0.0,0.01
10452,DS,2009.0,Sports,Company26,0.0,0.0,0.1,0.0
12027,DS,2008.0,Sports,Company297,0.06,0.0,0.0,0.0
4892,DS,2008.0,Racing,Company5,0.37,0.0,0.0,0.03
9300,DS,2010.0,Strategy,Company26,0.0,0.0,0.14,0.0
16217,PSP,2012.0,Action,Company246,0.0,0.0,0.01,0.0
7529,XB,2002.0,Racing,Company9,0.14,0.04,0.02,0.01
7198,Wii,2011.0,Action,Company29,0.19,0.01,0.0,0.01
12462,PSP,2007.0,Shooter,Company15,0.05,0.0,0.0,0.01
12494,PC,2011.0,Role-Playing,Company77,0.06,0.0,0.0,0.0
13687,PSP,2011.0,Adventure,Company357,0.0,0.0,0.04,0.0
3814,SNES,1994.0,Sports,Company26,0.0,0.0,0.53,0.0
6492,GBA,2002.0,Platform,Company29,0.19,0.07,0.0,0.0
9371,XOne,2015.0,Action,Company5,0.09,0.03,0.0,0.01
3421,PS3,2015.0,Role-Playing,Company26,0.05,0.09,0.42,0.03
2393,Wii,2009.0,Shooter,Company9,0.46,0.31,0.02,0.09
13957,PS3,2014.0,Role-Playing,Company67,0.03,0.01,0.0,0.01
7582,GBA,2003.0,Platform,Company5,0.14,0.05,0.0,0.0
8027,PS4,2014.0,Action,Company49,0.06,0.07,0.03,0.02
13055,DS,2008.0,Adventure,Company42,0.04,0.01,0.0,0.0
12010,Wii,2010.0,Misc,Company327,0.07,0.0,0.0,0.0
6973,XB,2002.0,Action,Company8,0.18,0.05,0.0,0.01
11429,3DS,2013.0,Misc,Company197,0.0,0.0,0.08,0.0
16273,GBA,2002.0,Racing,Company168,0.01,0.0,0.0,0.0
3964,PS,2001.0,Misc,Company29,0.28,0.19,0.0,0.03
7273,3DS,2012.0,Adventure,Company1,0.12,0.02,0.06,0.01
2775,PS3,2011.0,Shooter,Company7,0.29,0.32,0.01,0.12
11173,X360,2015.0,Platform,Company5,0.08,0.0,0.0,0.01
953,3DS,2014.0,Platform,Company1,0.61,0.34,0.79,0.09
13323,PC,2011.0,Sports,Company209,0.0,0.04,0.0,0.01
14239,Wii,2007.0,Adventure,Company296,0.03,0.0,0.0,0.0
9871,Wii,2010.0,Misc,Company20,0.09,0.02,0.0,0.01
15511,PSV,2016.0,Adventure,Company279,0.0,0.0,0.02,0.0
15844,DS,2011.0,Action,Company26,0.0,0.0,0.02,0.0
10433,PSP,2012.0,Action,Company130,0.0,0.0,0.1,0.0
12407,3DS,2014.0,Simulation,Company241,0.0,0.0,0.06,0.0
14657,PC,2008.0,Misc,Company6,0.0,0.02,0.0,0.0
8941,PS,2000.0,Platform,Company6,0.08,0.06,0.0,0.01
3356,PS2,2001.0,Racing,Company6,0.29,0.23,0.0,0.08
2078,Wii,2010.0,Misc,Company29,0.89,0.04,0.0,0.06
15291,PSP,2009.0,Strategy,Company326,0.0,0.01,0.0,0.01
3766,PSP,2010.0,Role-Playing,Company17,0.15,0.07,0.27,0.05
15204,PS2,2007.0,Misc,Company9,0.0,0.0,0.02,0.0
1581,PS,1998.0,Misc,Company28,0.99,0.22,0.0,0.04
12923,DS,2009.0,Role-Playing,Company327,0.05,0.0,0.0,0.0
5882,DS,2008.0,Role-Playing,Company1,0.0,0.0,0.3,0.0
15808,DS,2007.0,Misc,Company15,0.02,0.0,0.0,0.0
12916,Wii,2013.0,Misc,Company26,0.0,0.0,0.05,0.0
7117,DS,2007.0,Strategy,Company9,0.2,0.0,0.0,0.02
2600,PS3,2012.0,Adventure,Company123,0.4,0.25,0.03,0.11
6411,PSP,2006.0,Sports,Company8,0.24,0.0,0.0,0.02
1898,PC,2015.0,Action,Company3,0.36,0.64,0.0,0.08
3226,PS2,2001.0,Sports,Company8,0.31,0.24,0.0,0.08
13729,3DS,2011.0,Role-Playing,Company246,0.0,0.0,0.04,0.0
6105,X360,2012.0,Racing,Company36,0.07,0.18,0.0,0.03
11641,DS,2005.0,Misc,Company12,0.07,0.0,0.0,0.01
8859,GBA,2005.0,Action,Company29,0.11,0.04,0.0,0.0
2279,3DS,2012.0,Action,Company105,0.41,0.17,0.29,0.05
6202,GC,2004.0,Action,Company29,0.22,0.06,0.0,0.01
1339,PS3,2014.0,Shooter,Company6,0.33,0.79,0.08,0.23
1633,Wii,2007.0,Simulation,Company8,0.45,0.64,0.0,0.14
13959,DS,2008.0,Simulation,Company15,0.03,0.0,0.0,0.0
6067,DS,2008.0,Puzzle,Company13,0.26,0.0,0.0,0.02
10049,XOne,2016.0,Adventure,Company17,0.08,0.02,0.0,0.01
5661,PS,1997.0,Adventure,Company31,0.18,0.12,0.0,0.02
12253,DS,2009.0,Misc,Company6,0.06,0.0,0.0,0.0
4919,3DS,2012.0,Role-Playing,Company26,0.18,0.04,0.15,0.02
1970,PS3,2010.0,Shooter,Company9,0.41,0.47,0.0,0.18
3864,PS3,2006.0,Sports,Company8,0.47,0.0,0.01,0.04
8309,GC,2003.0,Platform,Company20,0.13,0.03,0.0,0.0
10307,X360,2008.0,Action,Company15,0.1,0.0,0.0,0.01
521,GBA,2003.0,Action,Company29,1.59,1.05,0.04,0.14
4887,N64,1998.0,Sports,Company8,0.38,0.01,0.0,0.0
27,DS,2010.0,Role-Playing,Company1,5.57,3.28,5.65,0.82
1751,PS2,2001.0,Racing,Company8,0.57,0.44,0.0,0.15
9560,GC,2002.0,Fighting,Company31,0.1,0.03,0.0,0.0
14018,DS,2011.0,Puzzle,Company342,0.03,0.0,0.0,0.0
10621,PS,2001.0,Racing,Company31,0.06,0.04,0.0,0.01
8180,Wii,2010.0,Sports,Company75,0.17,0.0,0.0,0.01
7615,XB,2005.0,Action,Company33,0.15,0.04,0.0,0.01
7036,PSP,2013.0,Sports,Company8,0.0,0.16,0.0,0.07
5431,PSV,2012.0,Racing,Company4,0.17,0.12,0.0,0.05
12379,DS,2006.0,Strategy,Company6,0.05,0.01,0.0,0.0
13115,N64,2000.0,Role-Playing,Company104,0.04,0.01,0.0,0.0
15875,GBA,2004.0,Shooter,Company87,0.01,0.0,0.0,0.0
14625,WiiU,2013.0,Misc,Company59,0.01,0.01,0.0,0.0
7467,DS,2008.0,Misc,Company5,0.19,0.0,0.0,0.02
16099,PSP,2012.0,Action,Company279,0.0,0.0,0.01,0.0
6647,XB,2003.0,Sports,Company2,0.2,0.04,0.0,0.01
1976,SNES,1996.0,Sports,Company51,0.0,0.0,1.04,0.01
2224,GBA,2005.0,Misc,Company34,0.67,0.25,0.0,0.02
6762,GBA,2005.0,Misc,Company87,0.18,0.07,0.0,0.0
13356,X360,2013.0,Action,Company5,0.0,0.04,0.0,0.0
436,GC,2001.0,Simulation,Company1,1.92,0.16,0.99,0.09
9578,PS4,2015.0,Action,Company4,0.02,0.05,0.04,0.01
248,Wii,2010.0,Misc,Company6,2.67,1.35,0.01,0.39
11079,PS3,2011.0,Fighting,Company148,0.0,0.0,0.09,0.0
2286,PS3,2009.0,Racing,Company29,0.52,0.26,0.0,0.12
8064,Wii,2011.0,Misc,Company5,0.15,0.02,0.0,0.01
9108,2600,1982.0,Action,Company11,0.13,0.01,0.0,0.0
1695,PS2,2006.0,Action,Company24,0.99,0.04,0.0,0.16
4798,PS2,2002.0,Misc,Company40,0.2,0.15,0.0,0.05
5168,SNES,1994.0,Sports,Company198,0.0,0.0,0.36,0.0
386,PS2,2002.0,Fighting,Company26,1.55,1.27,0.33,0.29
2375,PSP,2009.0,Role-Playing,Company9,0.08,0.11,0.62,0.06
9671,SAT,1995.0,Racing,Company72,0.0,0.0,0.12,0.0
5017,XOne,2016.0,Racing,Company2,0.15,0.2,0.0,0.03
3996,X360,2012.0,Sports,Company3,0.47,0.0,0.0,0.03
6468,PC,2008.0,Strategy,Company2,0.04,0.18,0.0,0.04
981,PS2,2005.0,Action,Company24,0.85,0.76,0.0,0.16
1814,PS4,2014.0,Shooter,Company9,0.34,0.56,0.04,0.19
11336,PSP,2010.0,Role-Playing,Company132,0.05,0.0,0.03,0.01
9687,Wii,2007.0,Strategy,Company7,0.11,0.01,0.0,0.01
12125,Wii,2010.0,Sports,Company1,0.0,0.06,0.0,0.01
11019,DS,2011.0,Puzzle,Company96,0.07,0.01,0.0,0.01
11007,PS2,2001.0,Role-Playing,Company243,0.0,0.0,0.09,0.0
15409,WiiU,2013.0,Fighting,Company49,0.0,0.0,0.02,0.0
828,PS3,2013.0,Role-Playing,Company5,0.71,0.83,0.15,0.35
16460,DS,2008.0,Misc,Company574,0.0,0.0,0.01,0.0
8193,DS,2010.0,Adventure,Company29,0.17,0.0,0.0,0.01
7892,PS3,2010.0,Sports,Company6,0.11,0.05,0.0,0.03
2992,PS4,2014.0,Shooter,Company12,0.22,0.33,0.0,0.13
6056,X360,2013.0,Racing,Company36,0.08,0.17,0.0,0.03
5929,X360,2012.0,Shooter,Company5,0.13,0.14,0.0,0.03
16520,Wii,2007.0,Action,Company15,0.0,0.01,0.0,0.0
7747,PS,1996.0,Fighting,Company26,0.0,0.0,0.18,0.01
10045,PS,1999.0,Fighting,Company84,0.06,0.04,0.0,0.01
1874,PSP,2007.0,Action,Company8,0.24,0.55,0.0,0.31
13533,PS3,2006.0,Action,Company13,0.0,0.0,0.04,0.0
8389,PS,2001.0,Racing,Company28,0.09,0.06,0.0,0.01
11319,GBA,2003.0,Strategy,Company13,0.06,0.02,0.0,0.0
995,PS2,2004.0,Fighting,Company8,0.86,0.67,0.0,0.22
9767,SAT,1995.0,Misc,Company9,0.0,0.0,0.12,0.0
11423,DS,2010.0,Simulation,Company6,0.07,0.0,0.0,0.0
12301,Wii,2007.0,Fighting,Company103,0.06,0.0,0.0,0.0
5941,PS,1997.0,Simulation,Company8,0.16,0.11,0.0,0.02
1475,GB,2000.0,Sports,Company5,0.9,0.38,0.01,0.05
10361,PS,1999.0,Adventure,Company15,0.0,0.0,0.1,0.01
11,DS,2005.0,Simulation,Company1,9.07,11.0,1.93,2.75
1578,PC,2003.0,Sports,Company22,0.0,1.15,0.0,0.11
14660,PSP,2011.0,Misc,Company4,0.0,0.02,0.0,0.01
16221,Wii,2008.0,Sports,Company26,0.0,0.0,0.01,0.0
5013,PS3,2007.0,Sports,Company8,0.35,0.0,0.0,0.03
1960,PS4,2016.0,Fighting,Company26,0.39,0.41,0.1,0.16
6955,DS,2010.0,Misc,Company3,0.16,0.05,0.0,0.02
10274,GC,,Role-Playing,Company54,0.0,0.0,0.11,0.0
7049,DS,2008.0,Role-Playing,Company71,0.21,0.0,0.0,0.02
14897,PSP,2011.0,Adventure,Company279,0.0,0.0,0.03,0.0
10232,PS2,2002.0,Shooter,Company26,0.05,0.04,0.0,0.01
13001,DS,2007.0,Simulation,Company22,0.0,0.05,0.0,0.01
12424,GC,2005.0,Fighting,Company26,0.05,0.01,0.0,0.0
14244,PS3,2011.0,Adventure,Company434,0.0,0.0,0.03,0.0
16171,XB,2005.0,Adventure,Company15,0.01,0.0,0.0,0.0
583,X360,2010.0,Shooter,Company8,1.55,0.81,0.04,0.21
15219,PSP,2012.0,Action,Company279,0.0,0.0,0.02,0.0
2705,PS3,2009.0,Action,Company8,0.38,0.26,0.0,0.12
12970,PSP,2009.0,Fighting,Company13,0.0,0.0,0.05,0.0
15187,PSV,2016.0,Action,Company54,0.0,0.0,0.02,0.0
1880,PS,1998.0,Simulation,Company15,0.0,0.0,1.07,0.02
2709,GBA,2005.0,Role-Playing,Company13,0.09,0.03,0.62,0.02
7317,PS,2001.0,Sports,Company57,0.12,0.08,0.0,0.01
16427,DS,2011.0,Puzzle,Company54,0.0,0.01,0.0,0.0
6970,PS2,,Racing,Company54,0.11,0.09,0.0,0.03
8769,XB,2005.0,Strategy,Company42,0.11,0.03,0.0,0.01
10139,DS,2005.0,Adventure,Company15,0.07,0.02,0.02,0.01
9,Wii,2009.0,Platform,Company1,14.59,7.06,4.7,2.26
8589,N64,1999.0,Shooter,Company5,0.13,0.03,0.0,0.0
15478,PS4,2016.0,Role-Playing,Company279,0.0,0.0,0.02,0.0
11293,DC,2000.0,Sports,Company9,0.0,0.0,0.08,0.0
